movie,release,year,director,genre,IMDB,RT,RTU,MS,MSU
Nausicaa,3/11/1984,1984,Hayao Miyazaki,"post-apocalyptic, fantasy",8.0,91,91,86,8.5
Castle in the Sky,8/2/1986,1986,Hayao Miyazaki,"fantasy, adventure",8.0,96,91,78,8.5
My Neighbor Totoro,4/15/1988,1988,Hayao Miyazaki,fantasy,8.1,94,94,87,8.5
Grave of the Fireflies,4/15/1988,1988,Isao Takahata,war,8.5,100,95,94,9
Kiki's Delivery Service,7/29/1989,1989,Hayao Miyazaki,fantasy,7.8,98,89,85,8.3
Only Yesterday,7/20/1991,1991,Isao Takahata,drama,7.6,100,82,90,8.3
Porco Rosso,7/18/1992,1992,Hayao Miyazaki,"fantasy, adventure",7.7,96,87,83,8
Ocean Waves,5/5/1993,1993,Tomomi Mochizuki,"romantic, drama",6.6,89,64,73,6.2
Pom Poko,7/16/1994,1994,Isao Takahata,fantasy,7.2,86,77,77,7.4
Whisper of the Heart,7/15/1995,1995,Yoshifumi Kondo,"romantic, drama",7.8,95,90,75,8.1
Princess Mononoke,7/12/1997,1997,Hayao Miyazaki,"historical, fantasy",8.3,93,94,78,8.9
My Neighbors the Yamadas,7/17/1999,1999,Isao Takahata,"comedy, drama",7.1,78,75,75,7.5
Spirited Away,7/20/2001,2001,Hayao Miyazaki,fantasy,8.6,96,96,96,9
The Cat Returns,7/19/2002,2002,Hiroyuki Morita,fantasy,7.1,88,82,70,71
Howl's Moving Castle,11/20/2004,2004,Hayao Miyazaki,fantasy,8.2,88,93,82,8.6
Tales from Earthsea,7/29/2006,2006,Goro Miyazaki,fantasy,6.3,37,46,47,6.1
Ponyo,7/19/2008,2008,Hayao Miyazaki,fantasy,7.6,91,83,86,7.7
Arrietty,7/17/2010,2010,Hiromasa Yonebayashi,fantasy,7.6,94,86,80,8.1
From Up On Poppy Hill,7/16/2011,2011,Goro Miyazaki,drama,7.4,87,80,71,7.5
The Wind Rises,7/20/2013,2013,Hayao Miyazaki,"historical, drama",7.8,88,85,83,8.3
The Tale of Princess Kaguya,11/23/2013,2014,Isao Takahata,"historical, fantasy",8.0,100,90,89,8.5
When Marnie Was There,7/19/2014,2014,Hiromasa Yonebayashi,drama,7.6,92,88,72,7.9
Earwig and the Witch,2/3/2021,2021,Goro Miyazaki,fantasy,4.7,28,68,46,4.4
The Boy and the Heron,7/14/2023,2023,Hayao Miyazaki,fantasy,7.4,96,88,91,7.8
